Position,Brand,Product_Name,Product_Page_Url,Price,Product_SKU_ID,Date,Sponsored,Product_Category,Product_Subcategory,Retailer,Input_Url
1,Chloé,Chloé eau de parfum for women,https://www.notino.co.uk/chloe/chloe-eau-de-parfum-for-women/,20.50,N/A,2023-11-12,Sponsored,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
2,Calvin Klein,Eternity eau de parfum for women,https://www.notino.co.uk/calvin-klein/eternity-eau-de-parfum-for-women/,32.00,N/A,2023-11-12,Sponsored,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
3,Carolina Herrera,Good Girl eau de parfum for women,https://www.notino.co.uk/carolina-herrera/good-girl-eau-de-parfum-for-women/,20.20,N/A,2023-11-12,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
4,Burberry,Burberry for Women eau de parfum for women,https://www.notino.co.uk/burberry/london-for-women1995-eau-de-parfum-for-women/,15.50,N/A,2023-11-12,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
5,Burberry,Her eau de parfum for women,https://www.notino.co.uk/burberry/her-eau-de-parfum-for-women/,41.00,N/A,2023-11-12,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
6,Burberry,London for Women eau de parfum for women,https://www.notino.co.uk/burberry/london-for-women2006-eau-de-parfum-for-women/,15.70,N/A,2023-11-12,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
7,Burberry,Weekend for Women eau de parfum for women,https://www.notino.co.uk/burberry/weekend-for-women-eau-de-parfum-for-women/,20.30,N/A,2023-11-12,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
8,Viktor & Rolf,GOOD FORTUNE eau de parfum for women,https://www.notino.co.uk/viktor-rolf/good-fortune-eau-de-parfum-for-women/,24.10,N/A,2023-11-12,Sponsored,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
9,Gucci,Intense Oud eau de parfum unisex 90 ml,https://www.notino.co.uk/gucci/intense-oud-eau-de-parfum-unisex/,81.50,N/A,2023-11-12,Sponsored,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
10,Carolina Herrera,Very Good Girl Glam eau de parfum for women,https://www.notino.co.uk/carolina-herrera/good-girl-glam-eau-de-parfum-for-women/,18.60,N/A,2023-11-12,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
11,Mugler,Alien eau de parfum refillable for women,https://www.notino.co.uk/thierry-mugler/alien-eau-de-parfum-for-women-refillable/,21.50,N/A,2023-11-12,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
12,Carolina Herrera,Good Girl Légère eau de parfum for women,https://www.notino.co.uk/carolina-herrera/good-girl-legere-eau-de-parfum-for-women/,39.50,N/A,2023-11-12,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
13,Burberry,My Burberry Black eau de parfum for women,https://www.notino.co.uk/burberry/my-burberry-black-eau-de-parfum-for-women/,64.00,N/A,2023-11-12,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
14,Afnan,Supremacy In Oud eau de parfum unisex 100 ml,https://www.notino.co.uk/afnan/supremacy-in-oud-eau-de-parfum-unisex/,45.20,N/A,2023-11-12,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
15,Burberry,Brit for Her eau de parfum for women,https://www.notino.co.uk/burberry/brit-eau-de-parfum-for-women/,28.90,N/A,2023-11-12,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
16,Burberry,My Burberry eau de parfum for women,https://www.notino.co.uk/burberry/my-burberry-eau-de-parfum-for-women/,48.00,N/A,2023-11-12,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
17,Carolina Herrera,Very Good Girl eau de parfum for women,https://www.notino.co.uk/carolina-herrera/good-girl-very-good-girl-eau-de-parfum-for-women/,45.30,N/A,2023-11-12,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
18,Lattafa,Khamrah eau de parfum unisex 100 ml,https://www.notino.co.uk/lattafa/khamrah-eau-de-parfum-unisex/,40.00,N/A,2023-11-12,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
19,Versace,Woman eau de parfum for women,https://www.notino.co.uk/versace/versace-woman-eau-de-parfum-for-women/,36.60,N/A,2023-11-12,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
20,Burberry,Touch for Women eau de parfum for women,https://www.notino.co.uk/burberry/touch-for-women-eau-de-parfum-for-women/,30.90,N/A,2023-11-12,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
21,Burberry,Her Elixir de Parfum eau de parfum (intense) for women,https://www.notino.co.uk/burberry/her-elixir-de-parfum-perfume-for-women/,24.10,N/A,2023-11-12,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
22,Carolina Herrera,Good Girl Blush eau de parfum for women,https://www.notino.co.uk/carolina-herrera/good-girl-blush-eau-de-parfum-for-women/,63.60,N/A,2023-11-12,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
23,Mancera,Red Tobacco eau de parfum unisex,https://www.notino.co.uk/mancera/red-tobacco-eau-de-parfum-unisex/,74.90,N/A,2023-11-12,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
24,Versace,Yellow Diamond Intense eau de parfum for women,https://www.notino.co.uk/versace/yellow-diamond-intense-eau-de-parfum-for-women/,42.90,N/A,2023-11-12,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
25,Carolina Herrera,212 Sexy eau de parfum for women,https://www.notino.co.uk/carolina-herrera/212-sexy-eau-de-parfum-for-women/,36.20,N/A,2023-11-12,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
26,Versace,Crystal Noir eau de parfum for women,https://www.notino.co.uk/versace/crystal-noir-eau-de-parfum-for-women/,78.90,N/A,2023-11-12,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
27,Carolina Herrera,212 VIP eau de parfum for women,https://www.notino.co.uk/carolina-herrera/212-vip-eau-de-parfum-for-women/,36.20,N/A,2023-11-12,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
